name,lat,lng,desc,link,type,country_en
阿尔巴尼亚 - 喀尔巴阡山脉和欧洲其他地区的古老和原始山毛榉森林,38.1320000000,15.9610000000,该跨国财产包括 18 个国家的 93 个组成部分。自上一个冰河时代结束以来，欧洲山毛榉在短短几千年的时间里从阿尔卑斯山、喀尔巴阡山脉、迪纳里德山脉、地中海和比利牛斯山脉的一些孤立的避难区蔓延开来，这一过程仍在进行中。其在整个大陆的成功扩张与该树对不同气候、地理和物理条件的适应性和耐受性有关。...,https://whc.unesco.org/en/list/1133,nature,"Albania,Austria,Belgium,Bosnia and Herzegovina,Bulgaria,Croatia,Czechia,France,Germany,Italy,North Macedonia,Poland,Romania,Slovakia,Slovenia,Spain,Switzerland,Ukraine"
阿尔巴尼亚 - 奥赫里德地区的自然和文化遗产,40.9672933093,20.6761045412,奥赫里德湖是一种顶级的自然现象，为许多第三纪时期的特有淡水动植物物种提供了避难所。奥赫里德镇位于湖畔，是欧洲最古老的人类居住区之一。主要建于 7 世纪至 19 世纪之间，拥有最古老的斯拉夫修道院 (St Pantelejmon) 和 800 多座可追溯至 11 世纪至 14 世纪末的拜占庭风格圣像。在靠近湖岸的浅水区...,https://whc.unesco.org/en/list/99,mountain,"Albania,North Macedonia"
阿根廷 - 勒柯布西耶的建筑作品，对现代运动的杰出贡献,-34.9113416667,-57.9418250000,从勒·柯布西耶 (Le Corbusier) 的作品中挑选出来的 17 个地点构成了这一跨国系列财产，分布在七个国家，是一种与过去决裂的新建筑语言的发明的见证。它们是在勒柯布西耶所说的“耐心研究”过程中历时半个世纪建成的。昌迪加尔的 Complexe du Capitole（印度）、东京国立西洋艺术博物馆（日本）、拉普拉塔的库鲁切特博士故居（阿根廷）...,https://whc.unesco.org/en/list/1321,building,"Argentina,Belgium,France,Germany,India,Japan,Switzerland"
阿根廷 - Qhapaq Ñan，安第斯公路系统,-0.0500000000,-78.2000000000,"该地点是一个覆盖 30,000 公里的广泛印加通信、贸易和国防道路网络。这个非凡的网络由印加人花费了几个世纪的时间建造而成，部分基于印加之前的基础设施，它穿过世界上最极端的地理地形之一，将安第斯山脉白雪皑皑的山峰（海拔超过 6,000 米）与海岸连接起来，穿过炎热的雨林、肥沃的山谷和绝对的沙漠。 15世纪达到最大扩张...",https://whc.unesco.org/en/list/1459,building,"Argentina,Bolivia (Plurinational State of),Chile,Colombia,Ecuador,Peru"
阿根廷 - 瓜拉尼人的耶稣会传教团：圣伊格纳西奥米尼、圣安娜、洛雷托圣母院和圣玛丽亚市长教堂（阿根廷）、圣米格尔达斯米索斯遗址（巴西）,-27.2557080000,-55.5314360000,巴西的圣米格尔达斯米索斯遗址以及阿根廷的圣伊格纳西奥米尼遗址、圣安娜遗址、洛雷托圣母遗址和马约尔遗址都位于热带森林的中心。它们是 17 世纪和 18 世纪在瓜拉尼人土地上建造的五个耶稣会传教所的令人印象深刻的遗迹。每一个都有特定的布局和不同的保护状态。...,https://whc.unesco.org/en/list/275,building,"Argentina,Brazil"
奥地利 - 欧洲伟大的温泉小镇,43.8872164768,10.7749785403,这个跨国系列地产由十一个温泉小镇组成，分布在七个欧洲国家： 维也纳附近巴登（奥地利）；斯帕（比利时）；弗朗季斯科矿泉水区；卡罗维发利；玛丽亚温泉市（捷克）；维希（法国）；坏 Ems；巴登-巴登；巴特基辛根（德国）；蒙特卡蒂尼泰尔梅（意大利）；和巴斯市（英国）。所有这些城镇都是围绕天然矿泉水开发的。它们见证了18世纪初期发展起来的国际欧洲水疗文化...,https://whc.unesco.org/en/list/1613,building,"Austria,Belgium,Czechia,France,Germany,Italy,United Kingdom of Great Britain and Northern Ireland"
奥地利 - 阿尔卑斯山周围的史前木桩住宅,45.1076510000,10.3929760000,这个系列遗产由 111 个小型个体遗址组成，包括阿尔卑斯山及其周围地区建于公元前 5000 年至 500 年左右的史前木桩住宅（或高脚屋）定居点的遗迹。在湖泊、河流或湿地的边缘。仅在部分遗址进行的发掘所获得的证据，可以让我们深入了解欧洲阿尔卑斯山新石器时代和青铜时代史前时代的生活以及社区与环境互动的方式。五十六个站点位于...,https://whc.unesco.org/en/list/1363,building,"Austria,France,Germany,Italy,Slovenia,Switzerland"
奥地利 - 罗马帝国的边疆——多瑙河界线（西段）,47.7449972222,18.1981916666,它覆盖了整个罗马帝国多瑙河边境近600公里。该财产构成了罗马帝国环绕地中海的广阔边界的一部分。多瑙河边界（西段）通过选择代表关键要素的地点来反映罗马边境这一部分的特殊性，从道路、军团要塞及其相关定居点到小堡垒和临时营地，以及这些结构与当地地形的关系。...,https://whc.unesco.org/en/list/1608,building,"Austria,Germany,Slovakia"
奥地利 - Fertö / Neusiedlersee 文化景观,47.7192777800,16.7227222200,八千年来，费尔特/新锡德勒湖地区一直是不同文化的交汇地。其多样化的景观形象地证明了这一点，这是人类活动与自然环境之间进化共生的结果。湖周围村庄的非凡乡村建筑以及几座 18 世纪和 19 世纪的宫殿增添了该地区的文化吸引力。...,https://whc.unesco.org/en/list/772,building,"Austria,Hungary"
阿塞拜疆 - 希尔卡尼亚森林,36.0988305555,53.3937500000,"希尔卡尼亚森林形成了一个独特的森林地块，沿着阿塞拜疆和伊朗的里海延伸。这些阔叶林的历史可以追溯到 25 至 5000 万年前，当时它们覆盖了北温带地区的大部分地区。它们的植物区系生物多样性非常显着，有记录的维管植物物种超过 3,200 种。迄今为止，已记录了 180 种典型的温带阔叶林鸟类和 58 种哺乳动物。该物业的元素包括完整的生态系统...",https://whc.unesco.org/en/list/1584,nature,"Azerbaijan,Iran (Islamic Republic of)"
